evidence_id,evidence_type,paper_id,arxiv_id,code_id,artifact_path,locator,claim_summary,claim_scope,confidence,status,notes
E0001,paper,unk_tutorial_on_joint_embedding_predictive_architectures_jepa_foundations_applications_and_future_directions,,,corpus/papers/all/unk_tutorial_on_joint_embedding_predictive_architectures_jepa_foundations_applications_and_future_directions.pdf,page:1,Tutorial source focused on JEPA foundations applications and future directions,fact,high,verified,Title-page evidence
E0002,paper,2020_neurips_2020_bootstrap_your_own_latent_a_new_approach_to_self_supervised_learning_paper_pdf,,,corpus/papers/all/2020_neurips_2020_bootstrap_your_own_latent_a_new_approach_to_self_supervised_learning_paper_pdf.pdf,page:1,BYOL is part of the non-contrastive self-supervised context relevant to JEPA comparisons,fact,high,verified,Title-page evidence
E0003,paper,2022_a_path_towards_autonomous_machine_intelligence,,,corpus/papers/all/2022_a_path_towards_autonomous_machine_intelligence.pdf,page:1,Autonomous machine intelligence framing is part of the conceptual motivation for JEPA-style work,recommendation,medium,verified,Perspective-style source; title-page evidence
E0004,paper,2023_assran_self_supervised_learning_from_images_with_a_joint_embedding_predictive_architecture_cvpr_2023_paper,,,corpus/papers/all/2023_assran_self_supervised_learning_from_images_with_a_joint_embedding_predictive_architecture_cvpr_2023_paper.pdf,page:1,I-JEPA presents a joint-embedding predictive architecture for self-supervised image learning,method,high,verified,Title-page evidence
E0005,paper,2023_mc_jepa_a_joint_embedding_predictive_architecture_for_self_supervised_learning_of_motion_and_content_features,,,corpus/papers/all/2023_mc_jepa_a_joint_embedding_predictive_architecture_for_self_supervised_learning_of_motion_and_content_features.pdf,page:1,MC-JEPA targets self-supervised learning of motion and content features,method,high,verified,Title-page evidence
E0006,paper,2025_audio_jepa_joint_embedding_predictive_architecture_for_audio_representation_learning,,,corpus/papers/all/2025_audio_jepa_joint_embedding_predictive_architecture_for_audio_representation_learning.pdf,page:1,Audio-JEPA extends joint-embedding predictive learning to audio representation learning,method,high,verified,Title-page evidence
E0007,paper,2025_v_jepa_2_self_supervised_video_models_enable_understanding_prediction_and_planning,,,corpus/papers/all/2025_v_jepa_2_self_supervised_video_models_enable_understanding_prediction_and_planning.pdf,page:1,V-JEPA-2 positions self-supervised video models as enabling understanding prediction and planning,method,high,verified,Title-page evidence
E0008,paper,2026_parallel_stochastic_gradient_based_planning_for_world_models,,,corpus/papers/all/2026_parallel_stochastic_gradient_based_planning_for_world_models.pdf,page:1,Parallel stochastic gradient planning is presented as a planning method for world models,procedure,medium,verified,Title-page evidence
E0009,paper,2026_rectified_lpjepa_joint_embedding_predictive_architectures_with_sparse_and_maximum_entropy_representations,,,corpus/papers/all/2026_rectified_lpjepa_joint_embedding_predictive_architectures_with_sparse_and_maximum_entropy_representations.pdf,page:1,Rectified LpJEPA studies sparse and maximum-entropy representation variants of JEPA,method,high,verified,Title-page evidence
E0010,paper,2026_thinkjepa_empowering_latent_world_models_with_large_vision_language_reasoning_model,,,corpus/papers/all/2026_thinkjepa_empowering_latent_world_models_with_large_vision_language_reasoning_model.pdf,page:1,ThinkJEPA connects JEPA-style latent world models with large vision-language reasoning,method,medium,verified,Title-page evidence
E0011,paper,2026_v_jepa2_1_unlocking_dense_features_in_video,,,corpus/papers/all/2026_v_jepa2_1_unlocking_dense_features_in_video.pdf,page:1,V-JEPA2.1 focuses on unlocking dense video features from the JEPA family,method,high,verified,Title-page evidence
E0012,protocol,,,,metadata/eval_protocol_template.md,file:metadata/eval_protocol_template.md,Local evaluation protocol template can anchor reproduction-plan procedure advice,procedure,high,verified,
E0013,code,,,eb_jepa_main,corpus/code/archives/eb_jepa-main.zip,file:eb_jepa-main/examples/ac_video_jepa/main.py,EB-JEPA archive includes a concrete example entrypoint for video-oriented training or experimentation,procedure,medium,verified,Archive member confirmed from zip listing
E0014,code,,,h_jepa_main,corpus/code/archives/H-JEPA-main.zip,file:H-JEPA-main/README.md,H-JEPA archive exposes project-level usage and layout documentation through its README,procedure,medium,verified,Archive member confirmed from zip listing
E0015,code,,,ijepa_main,corpus/code/archives/ijepa-main.zip,file:ijepa-main/src/train.py,Local I-JEPA archive contains a dedicated training script suitable for reproduction and debug references,procedure,high,verified,Archive member confirmed from zip listing
E0016,code,,,jepa_main,corpus/code/archives/jepa-main.zip,file:jepa-main/app/vjepa/train.py,Local JEPA archive contains a V-JEPA training entrypoint,procedure,medium,verified,Archive member confirmed from zip listing
E0017,code,,,jepa_main2,corpus/code/archives/jepa-main2.zip,file:jepa-main/jepa/cli/train.py,Second JEPA archive variant contains a CLI training entrypoint,procedure,medium,verified,Archive member confirmed from zip listing
E0018,code,,,lejepa_main,corpus/code/archives/lejepa-main.zip,file:lejepa-main/README.md,LeJEPA archive includes top-level project documentation in its README,procedure,medium,verified,Archive member confirmed from zip listing
